State,ISO,Vehiclecode,Zone,Capital,Largest city,Statehood,Population(2011)[citation needed],Area(km2),Officiallanguages[39],Additional officiallanguages[39]
Andhra Pradesh,IN-AP,AP,Southern,Amaravati,Visakhapatnam,1 November 1956,49506799,162975,Telugu,Urdu[40]
Arunachal Pradesh,IN-AR,AR,North-Eastern,Itanagar,Itanagar,20 February 1987,1383727,83743,English,—
Assam,IN-AS,AS,North-Eastern,Dispur,Guwahati,26 January 1950,31205576,78550,Assamese,"Bengali, Bodo"
Bihar,IN-BR,BR,Eastern,Patna,Patna,26 January 1950,104099452,94163,Hindi,Urdu
Chhattisgarh,IN-CT,CG,Central,Raipur[a],Raipur[a],1 November 2000,25545198,135194,Hindi,Chhattisgarhi
Goa,IN-GA,GA,Western,Panaji,Vasco da Gama,30 May 1987,1458545,3702,Konkani,Marathi
Gujarat,IN-GJ,GJ,Western,Gandhinagar,Ahmedabad,1 May 1960,60439692,196024,Gujarati,—
Haryana,IN-HR,HR,Northern,Chandigarh,Faridabad,1 November 1966,25351462,44212,Hindi,Punjabi[41][42]
Himachal Pradesh,IN-HP,HP,Northern,Shimla (Summer)Dharamshala (Winter)[43],Shimla,25 January 1971,6864602,55673,Hindi,Sanskrit[44]
Jharkhand,IN-JH,JH,Eastern,Ranchi,Jamshedpur,15 November 2000,32988134,79716,Hindi,"Angika, Bengali, Bhojpuri, Bhumij, Ho, Kharia, Khortha, Kurmali, Kurukh, Magahi, Maithili, Mundari, Nagpuri, Odia, Santali, Urdu[45][46]"
Karnataka,IN-KA,KA,Southern,Bangalore,Bangalore,1 November 1956,61095297,191791,Kannada,—
Kerala,IN-KL,KL,Southern,Thiruvananthapuram,Thiruvananthapuram,1 November 1956,33406061,38863,Malayalam,English[47]
Madhya Pradesh,IN-MP,MP,Central,Bhopal,Indore,26 January 1950,72626809,308252,Hindi,—
Maharashtra,IN-MH,MH,Western,Mumbai (Summer)Nagpur (Winter)[48][49],Mumbai,1 May 1960,112374333,307713,Marathi,—
Manipur,IN-MN,MN,North-Eastern,Imphal,Imphal,21 January 1972,2855794,22347,Meitei,English
Meghalaya,IN-ML,ML,North-Eastern,Shillong,Shillong,21 January 1972,2966889,22720,English,Khasi[b]
Mizoram,IN-MZ,MZ,North-Eastern,Aizawl,Aizawl,20 February 1987,1097206,21081,"English, Hindi, Mizo",—
Nagaland,IN-NL,NL,North-Eastern,Kohima,Dimapur,1 December 1963,1978502,16579,English,—
Odisha,IN-OR,OD,Eastern,Bhubaneswar,Bhubaneswar,26 January 1950,41974218,155820,Odia,—
Punjab,IN-PB,PB,Northern,Chandigarh,Ludhiana,1 November 1966,27743338,50362,Punjabi,—
Rajasthan,IN-RJ,RJ,Northern,Jaipur,Jaipur,26 January 1950,68548437,342269,Hindi,English
Sikkim,IN-SK,SK,North-Eastern,Gangtok,Gangtok,16 May 1975,610577,7096,"English, Nepali","Bhutia, Gurung, Lepcha, Limbu, Manggar, Mukhia, Newari, Rai, Sherpa, Tamang"
Tamil Nadu,IN-TN,TN,Southern,Chennai,Chennai,1 November 1956,72147030,130058,Tamil,English
Telangana,IN-TG,TS,Southern,Hyderabad[c],Hyderabad[c],2 June 2014,"35,193,978[54]","112,077[54]",Telugu,Urdu[55]
Tripura,IN-TR,TR,North-Eastern,Agartala,Agartala,21 January 1972,3673917,10492,"Bengali, English, Kokborok",—
Uttar Pradesh,IN-UP,UP,Central,Lucknow,Lucknow,26 January 1950,199812341,243286,Hindi,Urdu
Uttarakhand,IN-UT,UK,Central,Bhararisain (Summer)Dehradun (Winter)[56],Dehradun,9 November 2000,10086292,53483,Hindi,Sanskrit[57]
West Bengal,IN-WB,WB,Eastern,Kolkata,Kolkata,26 January 1950,91276115,88752,"Bengali, Nepali[d]","Hindi, Odia, Punjabi, Santali, Telugu, Urdu"
